NUMERO;he_pct_11;kw_pct_11;median_price_inf_11;SES_11;he_pct_21;kw_pct_21;median_price_inf_21;SES_21;RANK_11;RANK_21;SES_ASC;SES_PR_11;SES_PR_21;SES_PR_ASC
1.0;0.4067226890756302;0.5997818974918212;2361.290758996388;1.0369470063121868;0.4654205607476635;0.5890410958904109;3097.2203654999994;2.1877640839197054;2.0;2.0;1.1508170776075186;90.0;90.0;0.0
2.0;0.4312871287128713;0.5749801113762928;2846.9961375450084;1.7333453332084838;0.4481427882296189;0.5811113879890356;3240.393552;2.351693273635254;1.0;1.0;0.6183479404267702;100.0;100.0;0.0
3.0;0.4592833876221498;0.4903129657228018;1581.7654364112982;-0.2681868569871709;0.3746770025839793;0.506631299734748;1597.41702;-0.3462143906305575;3.0;7.0;-0.0780275336433866;80.0;40.0;-40.0
4.0;0.2798573975044563;0.4107142857142856;1659.0156111482122;-0.6271317917604691;0.3206933911159263;0.4516666666666667;1827.690669;-0.22063375020131837;7.0;5.0;0.4064980415591507;40.0;60.0;20.0
6.0;0.1448366013071895;0.2574960547080483;1778.8347420277046;-1.0176545805047152;0.1454760496747486;0.2737896494156928;1971.295289;-0.6974939214459077;10.0;9.0;0.32016065905880753;10.0;20.0;10.0
7.0;0.1252860411899313;0.2777379072771637;2017.285959156144;-0.6540120206660187;0.1473578024365639;0.2828685258964143;2295.304323;-0.19866133831969962;8.0;4.0;0.4553506823463191;30.0;70.0;40.0
8.0;0.1774771189812972;0.3316923895689196;2089.150807901927;-0.34162667624856463;0.19101929092805;0.3414160359032755;2100.4265;-0.2810467327647129;5.0;6.0;0.060579943483851706;60.0;50.0;-10.0
9.0;0.2268221574344023;0.3324873096446701;1728.567912422434;-0.7883189472059016;0.2317520275524941;0.3648555708390646;1590.3343225;-0.9098943514414689;9.0;10.0;-0.12157540423556734;20.0;10.0;-10.0
10.0;0.1499915923995292;0.2912457912457912;2018.0813335650653;-0.582062023995934;0.1814933233026142;0.3108473267708936;2004.12252;-0.5069079045257641;6.0;8.0;0.07515411947016992;50.0;30.0;-20.0
11.0;0.1374722838137472;0.2705707931801334;2257.2171729509746;-0.29842652976845585;0.1757621377493413;0.3541990668740279;2581.441308;0.42852211939102836;4.0;3.0;0.7269486491594842;70.0;80.0;10.0
