NUMERO;Distrito;2022;2021;2020;2019;2018;2017;2016;2015
1;Centro;38949;36272;35183;35977;33909;32161;31628;31325
2;Este;52522;48537;47039;47517;45511;43292;41971;40713
3;Ciudad Jardín;32937;26679;26578;27035;26058;24892;23344;23340
4;Bailen-miraflores;31791;29915;29209;29253;27891;26520;25847;25284
5;Martiricos - La Roca;27674;25612;23501;25215;23849;22126;20916;20299
6;Cruz de Humilladero;28270;26656;25434;25552;24176;23095;22339;21795
7;Carretera de Cádiz;28649;26887;25612;25664;24385;23147;22526;21963
8;Churriana;34834;32700;31193;30922;29330;27864;26837;25961
9;Campanillas;31362;29544;27753;28921;27410;26190;25432;24798
10;Puerto de la Torre;31874;29686;28447;28581;27021;25699;24918;24106
11;Teatinos;37590;34964;33734;33482;31738;30133;29080;28201
