Municipio de residencia;Distrito de residencia;Total;Analfabetos;Sin estudios;Primer grado;Segundo grado;Tercer grado
Total;Total;189395;440;4085;15540;106405;62925
29067 Málaga;Total;189395;440;4085;15540;106405;62925
29067 Málaga;Distrito 2906701;1905;0;0;45*;685;1175
29067 Málaga;Distrito 2906702;25255;95;430;1020;8605;15100
29067 Málaga;Distrito 2906703;1400;0;35*;35*;505;820
29067 Málaga;Distrito 2906704;5600;50*;95*;260;2835;2360
29067 Málaga;Distrito 2906705;1250;0;5*;50*;665;530
29067 Málaga;Distrito 2906706;19120;40*;430;1745;11820;5085
29067 Málaga;Distrito 2906707;34960;35*;1020;3785;21955;8165
29067 Málaga;Distrito 2906708;37690;30*;870;2975;22600;11210
29067 Málaga;Distrito 2906709;25720;125;475;2375;13635;9110
29067 Málaga;Distrito 2906710;29745;45*;620;2750;18770;7560
29067 Málaga;Distrito 2906711;6760;25*;105;490;4330;1810
