Municipio de residencia;Seccion de residencia;Total;España;Otros Estados miembros de la Unión Europea;África;América Central, Sur y Caribe;Asia;Otros Estados de Europa fuera de la Unión Europea
Total;Total;7270;7035;195;10*;30*;0;0
Total;Sección 2906707092;1510;1510;0;0;0;0;0
Total;Sección 2906708043;1360;1310;35*;0;10*;0;0
Total;Sección 2906708056;1365;1345;15*;0;0;0;0
Total;Sección 2906708061;1310;1310;0;0;0;0;0
Total;Sección 2906708065;1730;1560;140*;10*;20*;0;0
29067 Málaga;Total;7270;7035;195;10*;30*;0;0
29067 Málaga;Sección 2906707092;1510;1510;0;0;0;0;0
29067 Málaga;Sección 2906708043;1360;1310;35*;0;10*;0;0
29067 Málaga;Sección 2906708056;1365;1345;15*;0;0;0;0
29067 Málaga;Sección 2906708061;1310;1310;0;0;0;0;0
29067 Málaga;Sección 2906708065;1730;1560;140*;10*;20*;0;0
29067 Málaga;Sección 2906702003;;830;*;*;*;*;*
29067 Málaga;Sección 2906702013;;670;*;*;*;*;*
29067 Málaga;Sección 2906702017;;1090;*;*;*;*;*
29067 Málaga;Sección 2906702041;;880;*;*;*;*;*
29067 Málaga;Sección 2906702044;;780;*;*;*;*;*
29067 Málaga;Sección 2906702048;;900;*;*;*;*;*
29067 Málaga;Sección 2906702049;;890;*;*;*;*;*
29067 Málaga;Sección 2906702050;;1110;*;*;*;*;*
29067 Málaga;Sección 2906706001;;1075;*;*;*;*;*
29067 Málaga;Sección 2906706024;;870;*;*;70;*;*
29067 Málaga;Sección 2906706029;;1025;*;*;*;*;*
29067 Málaga;Sección 2906706039;;790;*;*;*;*;*
29067 Málaga;Sección 2906707030;;990;*;*;*;*;*
29067 Málaga;Sección 2906707048;;745;*;*;*;*;*
29067 Málaga;Sección 2906707072;;745;*;*;*;*;*
29067 Málaga;Sección 2906707082;;870;*;*;*;*;*
29067 Málaga;Sección 2906707090;;515;*;*;*;*;*
29067 Málaga;Sección 2906708006;;690;*;*;*;*;*
29067 Málaga;Sección 2906708007;;675;*;*;*;*;*
29067 Málaga;Sección 2906708010;;725;*;*;*;*;*
29067 Málaga;Sección 2906708018;;900;*;*;*;*;*
29067 Málaga;Sección 2906708029;;690;*;*;*;*;*
29067 Málaga;Sección 2906708033;;1030;*;*;*;*;*
29067 Málaga;Sección 2906708035;;990;*;*;*;*;*
29067 Málaga;Sección 2906708040;;800;*;*;*;*;*
29067 Málaga;Sección 2906708042;;1010;*;*;*;*;*
29067 Málaga;Sección 2906708044;;970;*;*;*;*;*
29067 Málaga;Sección 2906708052;;495;*;*;*;*;*
29067 Málaga;Sección 2906708054;;755;*;*;*;*;*
29067 Málaga;Sección 2906708058;;1045;*;*;*;*;*
29067 Málaga;Sección 2906708059;;940;*;*;*;*;*
29067 Málaga;Sección 2906708063;;840;*;*;*;*;*
29067 Málaga;Sección 2906709003;;700;*;*;*;*;*
29067 Málaga;Sección 2906709007;;745;*;*;*;*;*
29067 Málaga;Sección 2906709011;;600;*;*;*;*;*
29067 Málaga;Sección 2906710001;;775;*;*;*;*;*
29067 Málaga;Sección 2906710003;;1130;*;*;*;*;*
29067 Málaga;Sección 2906710019;;625;*;*;*;*;*
29067 Málaga;Sección 2906710034;;805;*;*;*;*;*
29067 Málaga;Sección 2906710066;;905;*;*;*;*;*
29067 Málaga;Sección 2906710068;;660;*;*;*;*;*
29067 Málaga;Sección 2906710069;;845;*;*;*;*;*
29067 Málaga;Sección 2906710070;;1065;*;*;*;*;*
29067 Málaga;Sección 2906710072;;815;*;*;*;*;*
29067 Málaga;Sección 2906711002;;845;*;*;*;*;*
29067 Málaga;Sección 2906711003;;820;*;*;*;*;*
29067 Málaga;Sección 2906711006;;760;*;*;*;*;*
29067 Málaga;Sección 2906711007;;795;*;*;*;*;*
29067 Málaga;Sección 2906711008;;1120;*;*;*;*;*
