Municipio de residencia;Distrito ;Total;Hogar con una mujer sola menor de 65 años;Hogar con un hombre solo menor de 65 años;Hogar con una mujer sola de 65 años o más;Hogar con un hombre solo de 65 años o más;Hogar con un solo progenitor que convive con algún hijo menor de 25 años;Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más;Hogar formado por pareja sin hijos;Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años;Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más;Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(a);Otro tipo de hogar
29067 Málaga;Total;218244;14823;16953;17463;5631;16866;13047;32499;49977;14928;17985;18078
29067 Málaga;Distrito 2906701;2064;273;315;276;111;96;93;288;192;66;99;255
29067 Málaga;Distrito 2906702;23700;1353;1452;2010;699;1812;1575;3297;5460;1989;2310;1746
29067 Málaga;Distrito 2906703;1521;252;291;135;57;81;66;216;126;30;51;216
29067 Málaga;Distrito 2906704;6414;618;657;633;198;459;369;909;1098;363;456;651
29067 Málaga;Distrito 2906705;1755;273;300;117;54;132;72;240;195;48;99;225
29067 Málaga;Distrito 2906706;22584;1530;1770;1938;612;1791;1458;3339;4914;1530;1818;1887
29067 Málaga;Distrito 2906707;44103;2958;3510;3462;1083;3561;2730;6351;9567;2862;3870;4152
29067 Málaga;Distrito 2906708;40623;2397;3180;1917;681;3456;1845;5619;12903;2610;3462;2553
29067 Málaga;Distrito 2906709;33324;2655;2580;3714;1131;2220;2331;5436;5295;2235;2442;3285
29067 Málaga;Distrito 2906710;34992;2190;2394;2946;837;2649;2175;5697;8106;2721;2661;2613
29067 Málaga;Distrito 2906711;7164;327;504;309;159;609;333;1107;2127;477;717;495
