NUMERO;15-19;20-34;35-64;65+
1.0;0.0;0.28067403896787785;0.6793048973143759;0.040021063717746184
2.0;0.0025742574257425744;0.2093069306930693;0.7584158415841584;0.0297029702970297
3.0;0.0;0.3434108527131783;0.6496124031007752;0.0069767441860465115
4.0;0.0053523639607493305;0.23639607493309545;0.7368421052631579;0.021409455842997322
5.0;0.0;0.2982608695652174;0.6939130434782609;0.00782608695652174
6.0;0.004181913225300575;0.332723470987977;0.6560376372190277;0.0070569785676947204
7.0;0.004576659038901602;0.32837528604118993;0.6507437070938215;0.016304347826086956
8.0;0.003981420039814201;0.31254147312541475;0.6756469807564698;0.007830126078301261
9.0;0.006998444790046656;0.31609642301710733;0.6656298600311042;0.011275272161741835
10.0;0.005378151260504202;0.3203361344537815;0.6660504201680673;0.00823529411764706
11.0;0.005921539600296077;0.31384159881569207;0.6728349370836417;0.007401924500370096
